Parameters,Cumulative Return,Cumulative Long Return,Cumulative Short Return,Maximum Drawdown,Average Size
"(1, 0, 5, 7, 2)",0.0767364518167932,,,-0.012790580807174,15.0
"(1, 0, 5, 7, 3)",0.0669828270423913,,,-0.011306018515847,15.0
"(1, 0, 5, 7, 4)",0.0725087611319275,,,-0.0112929275416496,15.3
"(1, 0, 5, 8, 2)",0.0749950898231899,,,-0.0164557065249653,12.1
"(1, 0, 5, 8, 3)",0.0459093141966058,,,-0.0164557065249653,11.6
"(1, 0, 5, 8, 4)",0.0819214146066247,,,-0.0114147705701345,13.0
"(1, 0, 5, 9, 2)",0.0659510627601398,,,-0.0241068744712036,10.0
"(1, 0, 5, 9, 3)",0.0742923339481402,,,-0.0240939981439089,10.6
"(1, 0, 5, 9, 4)",0.0617907897205434,,,-0.0240939981439089,10.8
"(1, 0, 5, 10, 2)",0.0404583641336695,,,-0.0291045616592984,7.8
"(1, 0, 5, 10, 3)",0.0724092055051863,,,-0.0133486389111579,9.1
"(1, 0, 5, 10, 4)",0.0634533523742268,,,-0.0110321612426594,8.9
"(1, 0, 5, 11, 2)",0.0222427676739822,,,-0.0291045616592984,6.9
"(1, 0, 5, 11, 3)",0.0232207601876792,,,-0.0233812929263381,6.7
"(1, 0, 5, 11, 4)",0.0050670544870674,,,-0.0206285001207293,6.7
"(1, 0, 10, 7, 2)",0.0935139148103525,,,-0.0092900718693357,23.5
"(1, 0, 10, 7, 3)",0.0818591765969705,,,-0.0103708544820083,22.8
"(1, 0, 10, 7, 4)",0.0753449742985044,,,-0.0086533500964584,22.7
"(1, 0, 10, 8, 2)",0.1050150170231676,,,-0.0081593862449177,19.6
"(1, 0, 10, 8, 3)",0.0933478892548502,,,-0.0102314169326718,19.4
"(1, 0, 10, 8, 4)",0.0703173533759118,,,-0.0094578898015988,19.8
"(1, 0, 10, 9, 2)",0.0886162517092732,,,-0.0093898858508238,17.2
"(1, 0, 10, 9, 3)",0.0759743921590812,,,-0.0130637245831068,17.1
"(1, 0, 10, 9, 4)",0.0553637758209646,,,-0.0164660650640989,17.4
"(1, 0, 10, 10, 2)",0.073779628071471,,,-0.0125111324069916,15.8
"(1, 0, 10, 10, 3)",0.0738222914889605,,,-0.0130637245831068,16.0
"(1, 0, 10, 10, 4)",0.0528765828374595,,,-0.0180073420602862,16.3
"(1, 0, 10, 11, 2)",0.0493647788432516,,,-0.0167941927120975,14.8
"(1, 0, 10, 11, 3)",0.0581781594105825,,,-0.0161578565179286,15.5
"(1, 0, 10, 11, 4)",0.052018770619999,,,-0.0175369011999777,15.2
"(1, 0, 15, 7, 2)",0.0863960336634148,,,-0.0077099114625914,26.7
"(1, 0, 15, 7, 3)",0.0898518659523732,,,-0.0057698789606898,27.0
"(1, 0, 15, 7, 4)",0.0862369205696877,,,-0.0092372823007906,26.3
"(1, 0, 15, 8, 2)",0.0894637527403068,,,-0.0068910393669126,22.9
"(1, 0, 15, 8, 3)",0.0877372868869796,,,-0.0042642803805971,22.8
"(1, 0, 15, 8, 4)",0.0793224232353506,,,-0.0066029272934001,23.1
"(1, 0, 15, 9, 2)",0.0694139171441772,,,-0.0156140371595871,21.0
"(1, 0, 15, 9, 3)",0.0618836466010643,,,-0.0168805842716317,20.5
"(1, 0, 15, 9, 4)",0.0560592159740913,,,-0.0121132171545254,20.8
"(1, 0, 15, 10, 2)",0.0729590776258681,,,-0.0161821961051595,19.6
"(1, 0, 15, 10, 3)",0.0625819233176299,,,-0.0168805842716317,19.1
"(1, 0, 15, 10, 4)",0.0642100551256312,,,-0.0113207871132239,19.2
"(1, 0, 15, 11, 2)",0.0612250419680124,,,-0.0113666676297227,19.1
"(1, 0, 15, 11, 3)",0.0613017116529381,,,-0.0155400978939062,19.3
"(1, 0, 15, 11, 4)",0.0703939962791126,,,-0.009949973776927,18.8
"(1, 0, 20, 7, 2)",0.0988387291954191,,,-0.0038981100129103,29.4
"(1, 0, 20, 7, 3)",0.0917421818481918,,,-0.0057245090174177,28.7
"(1, 0, 20, 7, 4)",0.0825554089973774,,,-0.0081116025085098,28.1
"(1, 0, 20, 8, 2)",0.0918197033780872,,,-0.0084238859198801,25.9
"(1, 0, 20, 8, 3)",0.0847555437695741,,,-0.0049326179584855,26.0
"(1, 0, 20, 8, 4)",0.083838982701609,,,-0.0072166202421383,25.6
"(1, 0, 20, 9, 2)",0.0757975611545249,,,-0.0109786062840505,23.4
"(1, 0, 20, 9, 3)",0.0673470039231975,,,-0.0096072957006559,23.0
"(1, 0, 20, 9, 4)",0.0650199663146235,,,-0.0065403307071586,23.8
"(1, 0, 20, 10, 2)",0.0672302219132254,,,-0.0110264979413834,22.7
"(1, 0, 20, 10, 3)",0.0668365021613386,,,-0.0070449277593268,22.3
"(1, 0, 20, 10, 4)",0.0756203633924501,,,-0.0069325168034332,22.3
"(1, 0, 20, 11, 2)",0.0560451347560688,,,-0.0129131885788499,22.0
"(1, 0, 20, 11, 3)",0.0644930071044023,,,-0.0088925928267379,21.8
"(1, 0, 20, 11, 4)",0.07745221190786644,,,-0.007177476851107,21.5
